"ID","time","x","y"
15137,2012-12-24 15:44:00,-1723824.98126306,471190.834316156
15137,2012-12-24 16:12:00,-1724293.5411675,470693.262138299
15137,2012-12-24 16:44:00,-1723806.02867195,471042.179175305
15137,2012-12-25 01:59:00,-1727322.63172109,458282.063719177
15137,2012-12-25 02:30:00,-1729719.32364012,456613.034553483
15137,2012-12-25 20:18:00,-1841125.63683025,362665.553412929
15137,2012-12-25 21:58:00,-1838450.60629341,367865.88330745
15137,2012-12-26 05:27:00,-1847873.90207921,359052.979921548
15137,2012-12-26 08:47:00,-1840676.53567662,352543.756570962
15137,2012-12-26 09:27:00,-1842450.68215837,351829.517326211
15137,2012-12-26 15:25:00,-1855325.09723749,350165.21248088
15137,2012-12-26 21:05:00,-1889027.13365108,345488.90818497
15137,2012-12-26 22:43:00,-1898992.70381172,354521.642558688
15137,2012-12-27 03:23:00,-1904754.84505417,368356.734978855
15137,2012-12-27 04:41:00,-1915797.52684707,372443.734956974
15137,2012-12-27 05:56:00,-1918410.07942959,374113.382481264
15137,2012-12-27 10:06:00,-1941431.61819241,401768.245528738
15137,2012-12-27 15:41:00,-1972811.94827582,417369.658752382
15137,2012-12-28 20:06:00,-1896437.9695901,459117.580337073
15137,2012-12-29 02:34:00,-1855944.28896059,470387.953799961
15137,2012-12-29 03:03:00,-1854071.02853983,471072.158846983
15137,2012-12-29 03:53:00,-1850904.35062606,471506.974170006
15137,2012-12-29 04:19:00,-1850217.70993242,471688.318527045
15137,2012-12-29 05:29:00,-1843319.65287731,474072.16731388
15137,2012-12-29 08:59:00,-1822237.5804055,474563.27312483
15137,2012-12-29 09:24:00,-1819039.95816258,475693.177192009
15137,2012-12-30 03:53:00,-1723462.68935121,471476.633841996
15137,2012-12-30 05:30:00,-1715551.69317963,474133.03464232
15137,2012-12-30 08:48:00,-1723097.77506281,471283.139447323
15137,2012-12-30 09:05:00,-1724423.82207334,471676.286484979
15137,2013-01-01 08:21:00,-1728170.6389519,458465.777112287
15137,2013-01-01 10:04:00,-1729606.51180568,455487.36682544
15137,2013-01-02 02:38:00,-1826751.38264713,414983.005692879
15137,2013-01-02 08:02:00,-1835144.32860102,375792.543130547
15137,2013-01-02 08:08:00,-1835291.36678086,375299.13916053
15137,2013-01-02 09:46:00,-1839564.17941676,366965.790773823
15137,2013-01-03 02:15:00,-1870003.4391073,310809.589682159
15137,2013-01-03 03:56:00,-1871609.84753765,313575.761788957
15137,2013-01-03 05:15:00,-1874764.60017398,319366.639081423
15137,2013-01-03 08:00:00,-1869274.41884762,311150.668087227
15137,2013-01-03 14:25:00,-1827825.28769053,334371.649325539
15137,2013-01-04 03:33:00,-1819270.12471281,366277.504626486
15137,2013-01-04 05:15:00,-1810805.93695955,365760.969239279
15137,2013-01-04 09:01:00,-1799048.36943973,371227.61470982
15137,2013-01-04 09:21:00,-1798150.80456124,371487.784963841
15137,2013-01-04 14:10:00,-1779225.90371892,379524.644284175
15137,2013-01-05 03:06:00,-1766633.52739714,416963.707638051
15137,2013-01-05 04:47:00,-1759492.79272008,416403.351225643
15137,2013-01-05 10:19:00,-1728447.15555653,441158.412676189
15137,2013-01-05 11:50:00,-1721259.68153996,448415.184604879
15137,2013-01-06 03:12:00,-1721857.62566641,463201.41433556
15137,2013-01-07 05:21:00,-1724767.62612037,469773.640890891
15137,2013-01-07 05:34:00,-1726011.12014287,469790.871460242
15137,2013-01-07 08:41:00,-1743618.78292274,455294.142498845
15137,2013-01-07 09:38:00,-1748838.01668578,449703.109117292
15137,2013-01-07 15:21:00,-1769760.0083193,434066.829110677
15137,2013-01-07 17:02:00,-1775287.17915197,429820.778807971
15137,2013-01-08 05:00:00,-1839652.93753042,383188.675854152
15137,2013-01-08 05:15:00,-1839724.7704742,382305.624858056
15137,2013-01-08 09:15:00,-1848226.04300743,360742.138070548
15137,2013-01-09 08:52:00,-1941761.33522077,399114.467985852
15137,2013-01-09 10:37:00,-1942166.85851902,399844.281682761
15137,2013-01-10 02:30:00,-1940637.49327622,403361.2909705
15137,2013-01-10 05:49:00,-1938687.82903355,406231.839046672
15137,2013-01-11 02:24:00,-2051038.24352665,495611.493404793
15137,2013-01-11 03:51:00,-2050647.15114085,496202.634065199
15137,2013-01-12 03:37:00,-1826940.62347658,527830.301179264
15137,2013-01-12 03:49:00,-1826460.39954907,527807.546215277
15137,2013-01-12 05:04:00,-1825945.00358241,523579.25820844
15137,2013-01-12 05:17:00,-1826208.54900934,523161.168797737
15137,2013-01-12 08:02:00,-1815486.02880466,520237.57147608
15137,2013-01-12 13:59:00,-1786671.58139679,499756.72656071
15137,2013-01-13 02:00:00,-1733144.78462232,466187.652737354
15137,2013-01-13 03:10:00,-1724063.39018566,469213.684754847
15137,2013-01-13 03:35:00,-1724063.39018566,469213.684754847
15137,2013-01-13 04:49:00,-1724063.39018566,469213.684754847
15137,2013-01-13 09:15:00,-1724063.39018566,469213.684754847
15137,2013-01-14 08:53:00,-1716159.74202585,472647.686204014
15137,2013-01-14 09:07:00,-1716514.4846909,472106.065521956
15137,2013-01-14 11:58:00,-1716330.70033537,470258.735898922
15137,2013-01-14 15:17:00,-1723377.61080906,471401.974868429
15137,2013-01-14 15:41:00,-1723672.04530693,471413.872027861
15137,2013-01-14 17:25:00,-1724573.98520789,471955.442233976
15137,2013-01-14 21:20:00,-1723525.83236308,471326.410937372
15137,2013-01-15 17:06:00,-1723313.91430424,471934.830371455
15137,2013-01-15 17:50:00,-1722990.61248897,471085.0587171
15137,2013-01-15 20:57:00,-1722746.93907674,470890.158970636
15137,2013-01-15 21:06:00,-1722511.39478877,471134.154418566
15137,2013-01-15 22:25:00,-1723199.08723285,471169.909044729
15137,2013-01-15 22:44:00,-1724081.42091397,470996.930220973
15137,2013-01-16 02:39:00,-1723232.08193795,470625.642269944
15137,2013-01-16 03:02:00,-1723423.91657167,471207.587842387
15137,2013-01-16 03:39:00,-1723532.16105705,470959.820727004
15137,2013-01-16 05:07:00,-1723452.83488279,470196.764024093
15137,2013-01-16 05:14:00,-1723539.39836934,470017.972139901
15137,2013-01-16 08:07:00,-1720947.79017987,460565.156989074
15137,2013-01-16 08:36:00,-1721453.11263625,460016.138824958
15137,2013-01-16 15:15:00,-1760928.54098905,426984.694372541
15137,2013-01-17 08:20:00,-1817671.78588989,358864.291599064
15137,2013-01-17 15:07:00,-1831380.48867897,370006.083026018
15137,2013-01-18 08:10:00,-1853573.28036628,347024.970470942
15137,2013-01-18 14:36:00,-1852336.6780648,348503.086580046
15137,2013-01-19 14:42:00,-1893278.67585604,417615.396448357
15137,2013-01-19 16:00:00,-1897916.20368557,422213.490943237
15137,2013-01-19 16:15:00,-1898886.83046916,423293.208823049
15137,2013-01-19 16:22:00,-1898866.48467866,423731.166011185
15137,2013-01-20 02:18:00,-1890146.91927126,432540.331366787
15137,2013-01-20 03:39:00,-1888877.99331167,433787.383062558
15137,2013-01-20 08:28:00,-1885199.84684571,437252.762246855
15137,2013-01-20 14:08:00,-1875420.86098909,448208.809795508
15137,2013-01-21 04:49:00,-1737374.04093509,472750.538145615
15137,2013-01-21 04:57:00,-1736936.99942451,472631.99368592
15137,2013-01-21 08:09:00,-1721978.14081963,479060.326308486
15137,2013-01-21 09:18:00,-1717280.37061309,483259.878139496
15137,2013-01-21 09:50:00,-1719512.90452906,480444.311190406
15137,2013-01-21 14:02:00,-1723449.13227989,472432.537651901
15137,2013-01-21 16:05:00,-1723137.61079953,471427.867973009
15137,2013-01-22 14:07:00,-1715880.40098595,464804.241584467
15137,2013-01-22 15:55:00,-1717066.18342999,466469.385263584
15137,2013-01-22 21:24:00,-1722680.34150386,471063.956393896
15137,2013-01-22 21:31:00,-1722805.49751637,471124.109926203
15137,2013-01-22 21:40:00,-1722873.13125656,471127.892602688
15137,2013-01-22 23:00:00,-1723502.37436729,470555.564294854
15137,2013-01-22 23:19:00,-1723586.68124468,470637.460603275
15137,2013-01-23 03:25:00,-1723626.18975592,471676.558154533
15137,2013-01-23 04:09:00,-1723099.95542806,471388.772272938
15137,2013-01-23 05:42:00,-1723183.05814845,471672.219827399
15137,2013-01-24 05:23:00,-1719508.45727079,477549.043707531
15137,2013-01-24 08:45:00,-1723233.50575933,467839.35336264
15137,2013-01-24 15:08:00,-1724469.23025513,467007.391340827
15137,2013-01-24 15:31:00,-1726441.65075882,465810.467399776
15137,2013-01-24 15:50:00,-1726916.58284022,465428.001155559
15137,2013-01-24 17:34:00,-1730360.26591147,462036.080086261
15137,2013-01-24 20:48:00,-1738431.07013132,456856.988065812
15137,2013-01-25 15:16:00,-1787049.96993107,355849.533918942
15137,2013-01-25 17:05:00,-1797108.98710791,359174.381905844
15137,2013-01-26 09:45:00,-1844435.36576034,357863.924353648
15137,2013-01-27 05:45:00,-1794565.20426593,393286.982461686
15137,2013-01-27 20:17:00,-1754209.01456957,475710.674203794
15137,2013-01-27 21:36:00,-1747126.06148458,474993.983376649
15137,2013-01-27 21:58:00,-1744396.61573608,473853.600222304
15137,2013-01-28 02:32:00,-1724205.81143216,471807.934438408
15137,2013-01-28 03:47:00,-1723123.5445386,471387.509626643
15137,2013-01-28 04:10:00,-1721718.09962275,470584.600654606
15137,2013-01-28 05:24:00,-1721093.21196723,470785.678416825
15137,2013-01-28 09:05:00,-1722968.61275154,471455.592690784
15137,2013-01-28 09:35:00,-1722525.86769742,471406.468718235
15137,2013-01-29 03:57:00,-1724426.11079165,478774.862751825
15137,2013-01-29 08:40:00,-1721631.6619833,477484.091708535
15137,2013-01-29 10:26:00,-1722066.93526657,475899.748053464
15137,2013-01-29 14:33:00,-1717944.59869629,471978.681650939
15137,2013-01-29 15:25:00,-1718086.79668444,471745.018760984
15137,2013-01-29 15:56:00,-1718751.19437215,471692.709207442
15137,2013-01-29 16:13:00,-1719135.9974806,471704.300748674
15137,2013-01-29 17:09:00,-1722731.52015105,471518.01733817
15137,2013-01-29 17:36:00,-1723098.63398812,471570.787217874
15137,2013-01-29 17:52:00,-1723439.06293741,471820.434455861
15137,2013-01-29 20:28:00,-1723873.47310287,471693.668160696
15137,2013-01-29 21:39:00,-1723931.37369539,471709.153538238
15137,2013-01-29 22:35:00,-1723362.14395363,470897.191544567
15137,2013-01-29 23:15:00,-1723330.45690823,470970.954560888
15137,2013-01-30 02:58:00,-1720733.80650095,472584.274598306
15137,2013-01-30 03:51:00,-1720855.74764499,472469.503400642
15137,2013-01-30 04:35:00,-1719590.98780416,470672.679120596
15137,2013-01-30 05:51:00,-1719856.91357267,468145.335394045
15137,2013-01-30 08:24:00,-1720698.85599312,467775.860033401
15137,2013-01-30 10:01:00,-1725474.48043817,466794.959178837
15137,2013-01-30 14:13:00,-1730278.49934323,463504.164966648
15137,2013-02-01 03:48:00,-1716676.94476018,272665.904631504
15137,2013-02-01 05:30:00,-1705037.23885583,262481.514465495
15137,2013-02-01 09:21:00,-1708491.00056859,273142.432890911
15137,2013-02-01 14:03:00,-1703624.61128152,265302.618065069
15137,2013-02-01 15:28:00,-1702236.01267841,262388.165891781
15137,2013-02-02 08:28:00,-1622829.0133587,265863.040236335
15137,2013-02-02 09:00:00,-1624271.14227785,266060.604598675
15137,2013-02-02 15:17:00,-1619598.63929735,268696.559879042
15137,2013-02-02 15:31:00,-1620033.93632548,269227.14898323
15137,2013-02-03 03:06:00,-1671885.48063546,319707.631823466
15137,2013-02-03 04:38:00,-1675276.26875889,318292.975877398
15137,2013-02-03 05:21:00,-1676787.13098643,319311.040132219
15137,2013-02-03 08:22:00,-1705197.33538577,321596.579547879
15137,2013-02-03 08:40:00,-1706051.13091654,321900.268522087
15137,2013-02-03 10:01:00,-1707803.01161434,322883.214585276
15137,2013-02-03 10:22:00,-1708006.29975498,322627.850168978
15137,2013-02-04 02:34:00,-1732065.75811018,355114.526874435
15137,2013-02-04 08:19:00,-1687645.15514729,375766.956258316
15137,2013-02-04 10:00:00,-1685232.46214791,380302.407453233
15137,2013-02-05 02:38:00,-1629732.60563543,394592.55793591
15137,2013-02-05 03:54:00,-1626664.99826926,395853.037410025
15137,2013-02-05 05:28:00,-1627748.45516543,395974.481191945
15137,2013-02-05 08:05:00,-1622747.96246765,398803.124829055
15137,2013-02-05 14:54:00,-1585024.22411451,438637.194343717
15137,2013-02-05 16:01:00,-1581803.98868264,443790.125772951
